name,latitude,longitude,power_kw,type,operator,city,status,data_source
THE ATMOSPHERIC FUND (TORONTO A,43.8027865,-79.42051956,7.2,Level 2,THE ATMOSPHERIC FUND (TORONTO A,Markham,Available for Intended User,NRCan ZEVIP/EVAFIDI open data (Canada.ca)
THE ATMOSPHERIC FUND (TORONTO A,43.66879499,-79.30739886,7.2,Level 2,THE ATMOSPHERIC FUND (TORONTO A,Toronto,Available for Intended User,NRCan ZEVIP/EVAFIDI open data (Canada.ca)
THE ATMOSPHERIC FUND (TORONTO A,43.66799494,-79.31090027,7.2,Level 2,THE ATMOSPHERIC FUND (TORONTO A,Toronto,Available for Intended User,NRCan ZEVIP/EVAFIDI open data (Canada.ca)
THE ATMOSPHERIC FUND (TORONTO A,43.68623073,-79.31398736,7.2,Level 2,THE ATMOSPHERIC FUND (TORONTO A,Toronto,Available for Intended User,NRCan ZEVIP/EVAFIDI open data (Canada.ca)
THE ATMOSPHERIC FUND (TORONTO A,43.67127064,-79.34288429,7.2,Level 2,THE ATMOSPHERIC FUND (TORONTO A,Toronto,Available for Intended User,NRCan ZEVIP/EVAFIDI open data (Canada.ca)
THE ATMOSPHERIC FUND (TORONTO A,43.6800478,-79.33554647,7.2,Level 2,THE ATMOSPHERIC FUND (TORONTO A,Toronto,Available for Intended User,NRCan ZEVIP/EVAFIDI open data (Canada.ca)
THE ATMOSPHERIC FUND (TORONTO A,43.67931595,-79.42532287,7.2,Level 2,THE ATMOSPHERIC FUND (TORONTO A,Toronto,Available for Intended User,NRCan ZEVIP/EVAFIDI open data (Canada.ca)
THE ATMOSPHERIC FUND (TORONTO A,43.65781618,-79.46662306,7.2,Level 2,THE ATMOSPHERIC FUND (TORONTO A,Toronto,Available for Intended User,NRCan ZEVIP/EVAFIDI open data (Canada.ca)
THE ATMOSPHERIC FUND (TORONTO A,43.68194783,-79.3168261,7.2,Level 2,THE ATMOSPHERIC FUND (TORONTO A,Toronto,Available for Intended User,NRCan ZEVIP/EVAFIDI open data (Canada.ca)
THE ATMOSPHERIC FUND (TORONTO A,43.67733841,-79.33867974,7.2,Level 2,THE ATMOSPHERIC FUND (TORONTO A,Toronto,Available for Intended User,NRCan ZEVIP/EVAFIDI open data (Canada.ca)
THE ATMOSPHERIC FUND (TORONTO A,43.67591731,-79.33811003,7.2,Level 2,THE ATMOSPHERIC FUND (TORONTO A,Toronto,Available for Intended User,NRCan ZEVIP/EVAFIDI open data (Canada.ca)
THE ATMOSPHERIC FUND (TORONTO A,43.66394798,-79.37203942,7.2,Level 2,THE ATMOSPHERIC FUND (TORONTO A,Toronto,Available for Intended User,NRCan ZEVIP/EVAFIDI open data (Canada.ca)
