fsa,ev_count,ev_count_source,area,province,latitude,longitude,coord_source,base_load_kw,feeder_capacity_kw,ieso_peak_hour_kwh,ieso_peak_hour,premise_count,ieso_peak_fraction,base_load_source,feeder_capacity_source,charger_count,avg_charger_power_kw,charger_source,temperature_c,weather_factor,weather_source,peak_charging_share,peak_charging_source,ev_load_kw,ev_load_source,total_load_kw,risk_ratio,risk_level,priority_score
L0A,270,Ontario EV registrations by FSA (user CSV),West Northumberland County (Millbrook),Ontario,44.1263,-78.5193,GeoNames CA.zip,19591.3,24489.125,19591.3,18,5879,0.0608142492543066,IESO Hourly Consumption by FSA,"IESO observed monthly peak hour + 25% planning margin (proxy, not utility nameplate)",0,7.2,NRCan ZEVIP/EVAFIDI open data (count within 8 km of FSA centroid),12.0,1.0,Open-Meteo API,0.0608142492543066,IESO peak-hour / daily-average ratio by FSA,118.22290055037202,Ontario EV count × IESO peak fraction × NRCan avg charger kW × Open-Meteo weather factor,19709.52290055037,0.8048275673610377,Warning,0.5748951577896058
L0B,252,Ontario EV registrations by FSA (user CSV),East Durham Regional Municipality (Orono),Ontario,44.0773,-78.7465,GeoNames CA.zip,22067.0,27583.75,22067.0,18,7020,0.0606395805376373,IESO Hourly Consumption by FSA,"IESO observed monthly peak hour + 25% planning margin (proxy, not utility nameplate)",0,7.2,NRCan ZEVIP/EVAFIDI open data (count within 8 km of FSA centroid),12.0,1.0,Open-Meteo API,0.0606395805376373,IESO peak-hour / daily-average ratio by FSA,110.02445492748913,Ontario EV count × IESO peak fraction × NRCan avg charger kW × Open-Meteo weather factor,22177.02445492749,0.8039887417384326,Warning,0.5724137175974047
L0C,169,Ontario EV registrations by FSA (user CSV),West Durham Regional Municipality (Sunderland),Ontario,44.2094,-79.0725,GeoNames CA.zip,15116.3,18895.375,15116.3,18,4365,0.0597569292610547,IESO Hourly Consumption by FSA,"IESO observed monthly peak hour + 25% planning margin (proxy, not utility nameplate)",4,7.2,NRCan ZEVIP/EVAFIDI open data (count within 8 km of FSA centroid),12.0,1.0,Open-Meteo API,0.0597569292610547,IESO peak-hour / daily-average ratio by FSA,72.71223152485136,Ontario EV count × IESO peak fraction × NRCan avg charger kW × Open-Meteo weather factor,15189.01223152485,0.803848149694031,Warning,0.5594866821105157
L0E,294,Ontario EV registrations by FSA (user CSV),Lake Simcoe Southeast Shore (Sutton West),Ontario,44.3199,-79.2778,GeoNames CA.zip,27787.5,34734.375,27787.5,18,10196,0.0596794817706873,IESO Hourly Consumption by FSA,"IESO observed monthly peak hour + 25% planning margin (proxy, not utility nameplate)",4,17.9,NRCan ZEVIP/EVAFIDI open data (count within 8 km of FSA centroid),12.0,1.0,Open-Meteo API,0.0596794817706873,IESO peak-hour / daily-average ratio by FSA,314.069240766419,Ontario EV count × IESO peak fraction × NRCan avg charger kW × Open-Meteo weather factor,28101.569240766417,0.8090420294237745,Warning,0.576529516205964
L0G,988,Ontario EV registrations by FSA (user CSV),Ontario Centre (Queensville),Ontario,44.0586,-79.6235,GeoNames CA.zip,47631.2,59539.0,47631.2,18,18227,0.0600580732086348,IESO Hourly Consumption by FSA,"IESO observed monthly peak hour + 25% planning margin (proxy, not utility nameplate)",7,19.428571428571427,NRCan ZEVIP/EVAFIDI open data (count within 8 km of FSA centroid),12.0,1.0,Open-Meteo API,0.0600580732086348,IESO peak-hour / daily-average ratio by FSA,1152.840454413977,Ontario EV count × IESO peak fraction × NRCan avg charger kW × Open-Meteo weather factor,48784.040454413975,0.8193627782531445,Warning,0.6636443520175763
L0H,24,Ontario EV registrations by FSA (user CSV),Whitby Region (Gormley),Ontario,43.9023,-79.1554,GeoNames CA.zip,3847.6,4809.5,3847.6,10,1002,0.0543198190948494,IESO Hourly Consumption by FSA,"IESO observed monthly peak hour + 25% planning margin (proxy, not utility nameplate)",3,7.2,NRCan ZEVIP/EVAFIDI open data (count within 8 km of FSA centroid),12.0,1.0,Open-Meteo API,0.0543198190948494,IESO peak-hour / daily-average ratio by FSA,9.386464739589977,Ontario EV count × IESO peak fraction × NRCan avg charger kW × Open-Meteo weather factor,3856.98646473959,0.8019516508451169,Warning,0.5416062742701611
L0J,189,Ontario EV registrations by FSA (user CSV),North Peel Regional Municipality (Kleinburg),Ontario,43.8566,-79.6485,GeoNames CA.zip,6453.900000000001,8067.375000000001,6453.900000000001,19,1722,0.0559678285601254,IESO Hourly Consumption by FSA,"IESO observed monthly peak hour + 25% planning margin (proxy, not utility nameplate)",17,17.27058823529412,NRCan ZEVIP/EVAFIDI open data (count within 8 km of FSA centroid),12.0,1.0,Open-Meteo API,0.0559678285601254,IESO peak-hour / daily-average ratio by FSA,182.68689376075196,Ontario EV count × IESO peak fraction × NRCan avg charger kW × Open-Meteo weather factor,6636.586893760753,0.8226451471216786,Warning,0.5591434587188977
L0K,532,Ontario EV registrations by FSA (user CSV),Lake Simcoe North Shore (Coldwater),Ontario,44.6233,-79.1235,GeoNames CA.zip,56075.3,70094.125,56075.3,18,22833,0.0573217078379466,IESO Hourly Consumption by FSA,"IESO observed monthly peak hour + 25% planning margin (proxy, not utility nameplate)",0,7.2,NRCan ZEVIP/EVAFIDI open data (count within 8 km of FSA centroid),12.0,1.0,Open-Meteo API,0.0573217078379466,IESO peak-hour / daily-average ratio by FSA,219.56506970247065,Ontario EV count × IESO peak fraction × NRCan avg charger kW × Open-Meteo weather factor,56294.86506970247,0.8031324318507788,Warning,0.6068424858265251
L0L,844,Ontario EV registrations by FSA (user CSV),Lake Simcoe West Shore (Oro),Ontario,44.4548,-79.7352,GeoNames CA.zip,63430.2,79287.75,63430.2,18,25958,0.0584709077248171,IESO Hourly Consumption by FSA,"IESO observed monthly peak hour + 25% planning margin (proxy, not utility nameplate)",8,7.2,NRCan ZEVIP/EVAFIDI open data (count within 8 km of FSA centroid),12.0,1.0,Open-Meteo API,0.0584709077248171,IESO peak-hour / daily-average ratio by FSA,355.3160120621685,Ontario EV count × IESO peak fraction × NRCan avg charger kW × Open-Meteo weather factor,63785.516012062166,0.8044813481535567,Warning,0.6406908237252539
L0M,413,Ontario EV registrations by FSA (user CSV),Georgian Bay South Shore (Angus),Ontario,44.3269,-80.0333,GeoNames CA.zip,40325.3,50406.625,40325.3,18,15415,0.0613045529468832,IESO Hourly Consumption by FSA,"IESO observed monthly peak hour + 25% planning margin (proxy, not utility nameplate)",3,7.2,NRCan ZEVIP/EVAFIDI open data (count within 8 km of FSA centroid),12.0,1.0,Open-Meteo API,0.0613045529468832,IESO peak-hour / daily-average ratio by FSA,182.2952186428519,Ontario EV count × IESO peak fraction × NRCan avg charger kW × Open-Meteo weather factor,40507.595218642855,0.80361649324157,Warning,0.5902940205784435
