name,latitude,longitude,power_kw,type,operator,city,status,data_source,station_id,machine_id
THE ATMOSPHERIC FUND (TORONTO A,43.8027865,-79.42051956,7.2,Level 2,THE ATMOSPHERIC FUND (TORONTO A,Markham,Available for Intended User,NRCan ZEVIP/EVAFIDI open data (Canada.ca),S2883,M00000
THE ATMOSPHERIC FUND (TORONTO A,43.8027865,-79.42051956,7.2,Level 2,THE ATMOSPHERIC FUND (TORONTO A,Markham,Available for Intended User,NRCan ZEVIP/EVAFIDI open data (Canada.ca),S2883,M00001
THE ATMOSPHERIC FUND (TORONTO A,43.8027865,-79.42051956,7.2,Level 2,THE ATMOSPHERIC FUND (TORONTO A,Markham,Available for Intended User,NRCan ZEVIP/EVAFIDI open data (Canada.ca),S2883,M00002
THE ATMOSPHERIC FUND (TORONTO A,43.8027865,-79.42051956,7.2,Level 2,THE ATMOSPHERIC FUND (TORONTO A,Markham,Available for Intended User,NRCan ZEVIP/EVAFIDI open data (Canada.ca),S2883,M00003
THE ATMOSPHERIC FUND (TORONTO A,43.8027865,-79.42051956,7.2,Level 2,THE ATMOSPHERIC FUND (TORONTO A,Markham,Available for Intended User,NRCan ZEVIP/EVAFIDI open data (Canada.ca),S2883,M00004
THE ATMOSPHERIC FUND (TORONTO A,43.8027865,-79.42051956,7.2,Level 2,THE ATMOSPHERIC FUND (TORONTO A,Markham,Available for Intended User,NRCan ZEVIP/EVAFIDI open data (Canada.ca),S2883,M00005
THE ATMOSPHERIC FUND (TORONTO A,43.8027865,-79.42051956,7.2,Level 2,THE ATMOSPHERIC FUND (TORONTO A,Markham,Available for Intended User,NRCan ZEVIP/EVAFIDI open data (Canada.ca),S2883,M00006
THE ATMOSPHERIC FUND (TORONTO A,43.8027865,-79.42051956,7.2,Level 2,THE ATMOSPHERIC FUND (TORONTO A,Markham,Available for Intended User,NRCan ZEVIP/EVAFIDI open data (Canada.ca),S2883,M00007
THE ATMOSPHERIC FUND (TORONTO A,43.8027865,-79.42051956,7.2,Level 2,THE ATMOSPHERIC FUND (TORONTO A,Markham,Available for Intended User,NRCan ZEVIP/EVAFIDI open data (Canada.ca),S2883,M00008
THE ATMOSPHERIC FUND (TORONTO A,43.66879499,-79.30739886,7.2,Level 2,THE ATMOSPHERIC FUND (TORONTO A,Toronto,Available for Intended User,NRCan ZEVIP/EVAFIDI open data (Canada.ca),S2838,M00009
THE ATMOSPHERIC FUND (TORONTO A,43.66879499,-79.30739886,7.2,Level 2,THE ATMOSPHERIC FUND (TORONTO A,Toronto,Available for Intended User,NRCan ZEVIP/EVAFIDI open data (Canada.ca),S2838,M00010
THE ATMOSPHERIC FUND (TORONTO A,43.66799494,-79.31090027,7.2,Level 2,THE ATMOSPHERIC FUND (TORONTO A,Toronto,Available for Intended User,NRCan ZEVIP/EVAFIDI open data (Canada.ca),S2837,M00011
THE ATMOSPHERIC FUND (TORONTO A,43.66799494,-79.31090027,7.2,Level 2,THE ATMOSPHERIC FUND (TORONTO A,Toronto,Available for Intended User,NRCan ZEVIP/EVAFIDI open data (Canada.ca),S2837,M00012
THE ATMOSPHERIC FUND (TORONTO A,43.68623073,-79.31398736,7.2,Level 2,THE ATMOSPHERIC FUND (TORONTO A,Toronto,Available for Intended User,NRCan ZEVIP/EVAFIDI open data (Canada.ca),S2854,M00013
THE ATMOSPHERIC FUND (TORONTO A,43.68623073,-79.31398736,7.2,Level 2,THE ATMOSPHERIC FUND (TORONTO A,Toronto,Available for Intended User,NRCan ZEVIP/EVAFIDI open data (Canada.ca),S2854,M00014
THE ATMOSPHERIC FUND (TORONTO A,43.67127064,-79.34288429,7.2,Level 2,THE ATMOSPHERIC FUND (TORONTO A,Toronto,Available for Intended User,NRCan ZEVIP/EVAFIDI open data (Canada.ca),S2840,M00015
THE ATMOSPHERIC FUND (TORONTO A,43.67127064,-79.34288429,7.2,Level 2,THE ATMOSPHERIC FUND (TORONTO A,Toronto,Available for Intended User,NRCan ZEVIP/EVAFIDI open data (Canada.ca),S2840,M00016
THE ATMOSPHERIC FUND (TORONTO A,43.6800478,-79.33554647,7.2,Level 2,THE ATMOSPHERIC FUND (TORONTO A,Toronto,Available for Intended User,NRCan ZEVIP/EVAFIDI open data (Canada.ca),S2847,M00017
THE ATMOSPHERIC FUND (TORONTO A,43.6800478,-79.33554647,7.2,Level 2,THE ATMOSPHERIC FUND (TORONTO A,Toronto,Available for Intended User,NRCan ZEVIP/EVAFIDI open data (Canada.ca),S2847,M00018
THE ATMOSPHERIC FUND (TORONTO A,43.67931595,-79.42532287,7.2,Level 2,THE ATMOSPHERIC FUND (TORONTO A,Toronto,Available for Intended User,NRCan ZEVIP/EVAFIDI open data (Canada.ca),S2846,M00019
THE ATMOSPHERIC FUND (TORONTO A,43.67931595,-79.42532287,7.2,Level 2,THE ATMOSPHERIC FUND (TORONTO A,Toronto,Available for Intended User,NRCan ZEVIP/EVAFIDI open data (Canada.ca),S2846,M00020
THE ATMOSPHERIC FUND (TORONTO A,43.65781618,-79.46662306,7.2,Level 2,THE ATMOSPHERIC FUND (TORONTO A,Toronto,Available for Intended User,NRCan ZEVIP/EVAFIDI open data (Canada.ca),S2830,M00021
THE ATMOSPHERIC FUND (TORONTO A,43.65781618,-79.46662306,7.2,Level 2,THE ATMOSPHERIC FUND (TORONTO A,Toronto,Available for Intended User,NRCan ZEVIP/EVAFIDI open data (Canada.ca),S2830,M00022
THE ATMOSPHERIC FUND (TORONTO A,43.68194783,-79.3168261,7.2,Level 2,THE ATMOSPHERIC FUND (TORONTO A,Toronto,Available for Intended User,NRCan ZEVIP/EVAFIDI open data (Canada.ca),S2849,M00023
THE ATMOSPHERIC FUND (TORONTO A,43.68194783,-79.3168261,7.2,Level 2,THE ATMOSPHERIC FUND (TORONTO A,Toronto,Available for Intended User,NRCan ZEVIP/EVAFIDI open data (Canada.ca),S2849,M00024
THE ATMOSPHERIC FUND (TORONTO A,43.67733841,-79.33867974,7.2,Level 2,THE ATMOSPHERIC FUND (TORONTO A,Toronto,Available for Intended User,NRCan ZEVIP/EVAFIDI open data (Canada.ca),S2844,M00025
