fsa,area,risk_ratio,risk_level,ev_count,years_to_overload_conservative,risk_conservative_1yr,risk_conservative_3yr,risk_conservative_5yr,risk_conservative_10yr,years_to_overload_moderate,risk_moderate_1yr,risk_moderate_3yr,risk_moderate_5yr,risk_moderate_10yr,years_to_overload_aggressive,risk_aggressive_1yr,risk_aggressive_3yr,risk_aggressive_5yr,risk_aggressive_10yr,forecast_urgency,latitude,longitude,predicted_years_to_overload
L0A,West Northumberland County (Millbrook),0.8048275673610377,Warning,270,,0.806,0.808,0.812,0.83,,0.807,0.812,0.822,0.897,10.0,0.807,0.816,0.837,1.078,Safe 10+ Years,44.1263,-78.5193,11.0
L0B,East Durham Regional Municipality (Orono),0.8039887417384326,Warning,252,,0.805,0.807,0.81,0.825,,0.805,0.81,0.818,0.88,10.0,0.806,0.813,0.83,1.03,Safe 10+ Years,44.0773,-78.7465,11.2
L0C,West Durham Regional Municipality (Sunderland),0.803848149694031,Warning,169,,0.805,0.807,0.81,0.824,,0.805,0.809,0.817,0.877,10.0,0.806,0.813,0.829,1.022,Safe 10+ Years,44.2094,-79.0725,11.1
L0E,Lake Simcoe Southeast Shore (Sutton West),0.8090420294237745,Warning,294,,0.811,0.816,0.822,0.856,,0.812,0.822,0.841,0.982,8.0,0.814,0.831,0.869,1.321,Safe 10+ Years,44.3199,-79.2778,10.7
L0G,Ontario Centre (Queensville),0.8193627782531445,Warning,988,,0.823,0.833,0.848,0.92,8.0,0.826,0.848,0.887,1.189,6.0,0.829,0.865,0.947,1.917,6-10 Years,44.0586,-79.6235,8.1
L0H,Whitby Region (Gormley),0.8019516508451169,Warning,24,,0.802,0.803,0.805,0.812,,0.803,0.805,0.809,0.839,,0.803,0.807,0.815,0.913,Safe 10+ Years,43.9023,-79.1554,11.0
L0J,North Peel Regional Municipality (Kleinburg),0.8226451471216786,Warning,189,,0.827,0.839,0.856,0.94,8.0,0.831,0.856,0.902,1.255,6.0,0.834,0.876,0.972,2.106,6-10 Years,43.8566,-79.6485,7.9
L0K,Lake Simcoe North Shore (Coldwater),0.8031324318507788,Warning,532,,0.804,0.805,0.808,0.819,,0.804,0.808,0.814,0.863,,0.805,0.811,0.824,0.981,Safe 10+ Years,44.6233,-79.1235,11.0
L0L,Lake Simcoe West Shore (Oro),0.8044813481535567,Warning,844,,0.805,0.808,0.811,0.828,,0.806,0.811,0.82,0.89,10.0,0.807,0.815,0.834,1.058,Safe 10+ Years,44.4548,-79.7352,11.0
L0M,Georgian Bay South Shore (Angus),0.80361649324157,Warning,413,,0.804,0.806,0.809,0.822,,0.805,0.809,0.816,0.873,10.0,0.805,0.812,0.827,1.009,Safe 10+ Years,44.3269,-80.0333,11.0
L0N,Dufferin County (Shelburne),0.8019320452498501,Warning,46,,0.802,0.803,0.805,0.812,,0.803,0.805,0.809,0.839,,0.803,0.807,0.815,0.911,Safe 10+ Years,44.0317,-80.2068,11.0
L0P,Halton Regional Municipality (Campbellville),0.8113867555880112,Warning,268,,0.814,0.82,0.828,0.871,10.0,0.815,0.828,0.851,1.029,8.0,0.817,0.838,0.886,1.457,6-10 Years,43.4906,-79.9998,9.7
L0R,East Haldimand County (Waterdown),0.8061985922316177,Warning,1532,,0.807,0.811,0.815,0.838,,0.808,0.815,0.828,0.925,9.0,0.809,0.821,0.847,1.157,Safe 10+ Years,43.1607,-79.7463,11.0
L0S,Niagara Regional Municipality (Fonthill),0.8063078944634003,Warning,1279,,0.808,0.811,0.816,0.839,,0.809,0.816,0.828,0.927,9.0,0.809,0.821,0.848,1.164,Safe 10+ Years,42.9071,-79.0832,10.9
L1A,Port Hope,0.8039976865933838,Warning,215,,0.805,0.807,0.81,0.825,,0.805,0.81,0.818,0.88,10.0,0.806,0.813,0.83,1.031,Safe 10+ Years,44.0168,-78.3995,11.1
L1B,Bowmanville East,0.830848623594024,Warning,229,,0.837,0.853,0.877,0.991,7.0,0.842,0.876,0.938,1.42,5.0,0.846,0.904,1.034,2.579,6-10 Years,43.9235,-78.5457,7.0
L1C,Bowmanville West,0.8079293872451928,Warning,811,,0.81,0.814,0.82,0.849,,0.811,0.82,0.836,0.959,8.0,0.812,0.827,0.86,1.257,Safe 10+ Years,43.9714,-78.7095,11.0
L1E,Courtice,0.8164830039878688,Warning,444,,0.82,0.828,0.841,0.902,9.0,0.822,0.841,0.874,1.131,7.0,0.825,0.856,0.925,1.75,6-10 Years,43.8969,-78.7683,8.7
L1G,Oshawa Central,0.8075405613711408,Warning,417,,0.809,0.813,0.819,0.847,,0.81,0.819,0.834,0.952,9.0,0.811,0.825,0.857,1.235,Safe 10+ Years,43.9233,-78.8684,11.0
L1H,Oshawa Southeast,0.8073775025774637,Warning,383,,0.809,0.813,0.818,0.846,,0.81,0.818,0.833,0.948,9.0,0.811,0.825,0.856,1.225,Safe 10+ Years,43.9721,-78.8837,11.1
L1J,Oshawa Southwest,0.810439566841836,Warning,599,,0.813,0.818,0.826,0.865,10.0,0.814,0.826,0.847,1.01,8.0,0.816,0.835,0.879,1.402,6-10 Years,43.8852,-78.8771,9.8
L1K,Oshawa East,0.8162421779075043,Warning,786,,0.819,0.828,0.84,0.901,9.0,0.822,0.84,0.873,1.127,7.0,0.824,0.855,0.923,1.737,6-10 Years,43.9251,-78.8287,8.9
L1L,Oshawa North,0.826453739319362,Warning,472,,0.832,0.846,0.866,0.964,7.0,0.836,0.865,0.919,1.332,5.0,0.84,0.889,1.001,2.325,6-10 Years,43.9581,-78.8972,7.2
L1M,Whitby North,0.8211072532792518,Warning,543,,0.825,0.836,0.853,0.931,8.0,0.828,0.852,0.895,1.224,6.0,0.832,0.871,0.96,2.017,6-10 Years,43.9566,-78.9779,7.9
