name,latitude,longitude,operator,city,type,status,machine_count,avg_power_kw,station_id
 Brookstreet Hotel a division of Wesley Clover International Corporation,45.34917,-75.91758, Brookstreet Hotel a division of Wesley Clover International Corporation,Ottawa,DC Fast,Not started,2,50.0,S0000
#NAME?,42.940262,-81.255579,#NAME?,London,DC Fast,Not started,5,50.0,S0001
#NAME?,42.940262,-81.255579,#NAME?,London,Level 2,Not started,20,7.2,S0002
#NAME?,42.950224,-81.25793,#NAME?,London,DC Fast,Not started,2,50.0,S0003
#NAME?,42.950224,-81.25793,#NAME?,London,Level 2,Not started,4,7.2,S0004
#NAME?,43.31906,-80.84296,#NAME?,Tavistock,Level 2,Not started,6,7.2,S0005
#NAME?,43.39986714750935,-79.7037055334052,#NAME?,Oakville,Level 2,Not started,30,7.2,S0006
#NAME?,43.44868,-80.24787,#NAME?,Cambridge,Level 2,Not started,2,7.2,S0007
#NAME?,43.54718,-80.24866,#NAME?,Guelph,Level 2,Not started,1,7.2,S0008
#NAME?,43.57899027020371,-80.5624276,#NAME?,Elmira,DC Fast,Not started,2,50.0,S0009
#NAME?,43.57899027020371,-80.5624276,#NAME?,Elmira,Level 2,Not started,1,7.2,S0010
#NAME?,43.65111597791122,-79.89109016622811,#NAME?,Georgetown,Level 2,Not started,4,7.2,S0011
#NAME?,43.91609,-80.10472,#NAME?,Orangeville,DC Fast,Not started,1,50.0,S0012
#NAME?,43.91609,-80.10472,#NAME?,Orangeville,Level 2,Not started,4,7.2,S0013
#NAME?,43.92704,-80.11689,#NAME?,Orangeville,Level 2,Not started,2,7.2,S0014
#NAME?,44.08599,-80.13825,#NAME?,Mono,DC Fast,Not started,2,50.0,S0015
#NAME?,44.11719,-80.02629,#NAME?,Mulmur,Level 2,Not started,2,7.2,S0016
#NAME?,47.96607773273619,-84.79048266209011,#NAME?,wawa,DC Fast,Not started,2,50.0,S0017
- 2114 Yonge Street Inc,43.70311866868149,-79.39787077510269,- 2114 Yonge Street Inc,Toronto,Level 2,Available for Intended User,22,7.2,S0018
- Sher Holdings Inc. (Sher Mark,43.89586401731387,-79.29206593227421,- Sher Holdings Inc. (Sher Mark,Markham,Level 2,Not started,20,7.2,S0019
- YRSCC #1271,43.80289,-79.42089,- YRSCC #1271,Markham,Level 2,Not started,24,7.2,S0020
1000035337 Ontario Inc.,43.61327,-79.7006,1000035337 Ontario Inc.,Mississauga,DC Fast,Not started,1,50.0,S0021
1000035337 Ontario Inc.,43.61418,-79.699753,1000035337 Ontario Inc.,Mississauga,DC Fast,Not started,4,50.0,S0022
145GUELPH INC,43.552177,-80.277832,145GUELPH INC,Pickering,DC Fast,Not Started,4,50.0,S0023
1904969 Ontario Limited o/a Hol,43.113609253706976,-80.73962007321266,1904969 Ontario Limited o/a Hol,Woodstock,Level 2,Not started,25,7.2,S0024
1904969 Ontario Limited o/a Hol,43.11474269896287,-80.73809954426434,1904969 Ontario Limited o/a Hol,Woodstock,Level 2,Not started,25,7.2,S0025
2274 Princess Street,44.2597,-76.5457,2274 Princess Street,Kingston,Level 2,Not started,60,7.2,S0026
2280 EGLINTON WEST INC.,43.69294117,-79.46355511,2280 EGLINTON WEST INC.,Toronto,Level 2,Available for Intended User,20,7.2,S0027
240 Markland Drive GP Inc.,43.62944379255524,-79.5786216116508,240 Markland Drive GP Inc.,Etobicoke,Level 2,Not started,83,7.2,S0028
2431901 ONTARIO INC,43.578017,-80.223115,2431901 ONTARIO INC,Guelph,DC Fast,Not started,4,50.0,S0029
2456965 ONTARIO INC.,43.85635227,-79.32932751,2456965 ONTARIO INC.,Markham,Level 2,Available for Intended User,81,7.2,S0030
2584987 ONTARIO LIMITED,44.636836321652005,-79.426783,2584987 ONTARIO LIMITED,ORILLIA,DC Fast,Not started,2,50.0,S0031
2584987 ONTARIO LIMITED,44.636836321652005,-79.426783,2584987 ONTARIO LIMITED,ORILLIA,Level 2,Not started,1,7.2,S0032
88 QUEEN FITZROVIA INC,43.65408568,-79.37564563,88 QUEEN FITZROVIA INC,Toronto,Level 2,Not Started,24,7.2,S0033
88 QUEEN FITZROVIA INC,43.65434613,-79.3748541,88 QUEEN FITZROVIA INC,Toronto,Level 2,Not Started,24,7.2,S0034
AECON CONSTRUCTION GROUP INC.,42.1732875,-83.00124307,AECON CONSTRUCTION GROUP INC.,Windsor,Level 2,Not started,2,7.2,S0035
AECON CONSTRUCTION GROUP INC.,43.15270395,-80.22103152,AECON CONSTRUCTION GROUP INC.,Brantford,Level 2,Not started,4,7.2,S0036
AECON CONSTRUCTION GROUP INC.,43.40296739,-80.31487596,AECON CONSTRUCTION GROUP INC.,Cambridge,Level 2,Not started,2,7.2,S0037
AECON CONSTRUCTION GROUP INC.,43.40315736,-80.31612587,AECON CONSTRUCTION GROUP INC.,Cambridge,Level 2,Not started,2,7.2,S0038
AECON CONSTRUCTION GROUP INC.,43.41187609,-79.80876877,AECON CONSTRUCTION GROUP INC.,Burlington,Level 2,Not started,2,7.2,S0039
AECON CONSTRUCTION GROUP INC.,43.46139529,-80.40225663,AECON CONSTRUCTION GROUP INC.,Breslau,Level 2,Not started,2,7.2,S0040
AECON CONSTRUCTION GROUP INC.,43.54543726,-79.91748633,AECON CONSTRUCTION GROUP INC.,Milton,Level 2,Not started,4,7.2,S0041
AECON CONSTRUCTION GROUP INC.,43.69038686,-79.58465989,AECON CONSTRUCTION GROUP INC.,Toronto,Level 2,Not started,2,7.2,S0042
AECON CONSTRUCTION GROUP INC.,43.70207033,-79.79928413,AECON CONSTRUCTION GROUP INC.,Brampton,Level 2,Not started,5,7.2,S0043
AECON CONSTRUCTION GROUP INC.,43.79376398,-79.76484852,AECON CONSTRUCTION GROUP INC.,Caledon,Level 2,Not started,3,7.2,S0044
